Date,Day,Day Type,Category,Time of Day,Duration
9/23/2023,Saturday,Holiday,Breakfast,10:05,27
9/23/2023,Saturday,Holiday,Lunch,13:15,15
9/23/2023,Saturday,Holiday,Snacks,17:10,8
9/23/2023,Saturday,Holiday,Dinner,20:30,20
9/24/2023,Sunday,Holiday,Breakfast,10:10,23
9/24/2023,Sunday,Holiday,Lunch,13:00,20
9/24/2023,Sunday,Holiday,Snacks,17:40,6
9/24/2023,Sunday,Holiday,Dinner,19:50,16
9/25/2023,Monday,Weekday,Breakfast,8:35,11
9/25/2023,Monday,Weekday,Lunch,14:05,19
9/25/2023,Monday,Weekday,Snacks,17:04,11
9/25/2023,Monday,Weekday,Dinner,20:10,17
9/26/2023,Tuesday,Weekday,Breakfast,9:25,16
9/26/2023,Tuesday,Weekday,Lunch,13:55,17
9/26/2023,Tuesday,Weekday,Dinner,19:43,22
9/27/2023,Wednesday,Weekday,Breakfast,10:07,19
9/27/2023,Wednesday,Weekday,Lunch,13:19,13
9/27/2023,Wednesday,Weekday,Snacks,17:26,5
9/27/2023,Wednesday,Weekday,Dinner,19:41,22
9/28/2023,Thursday,Holiday,Breakfast,10:08,17
9/28/2023,Thursday,Holiday,Lunch,14:28,18
9/28/2023,Thursday,Holiday,Snacks,17:35,6
9/28/2023,Thursday,Holiday,Dinner,20:07,25
9/29/2023,Friday,Weekday,Breakfast,8:47,12
9/29/2023,Friday,Weekday,Lunch,13:05,21
9/29/2023,Friday,Weekday,Snacks,17:39,9
9/30/2023,Saturday,Holiday,Breakfast,9:34,22
9/30/2023,Saturday,Holiday,Lunch,14:17,17
9/30/2023,Saturday,Holiday,Snacks,17:07,7
9/30/2023,Saturday,Holiday,Dinner,20:15,19
10/1/2023,Sunday,Holiday,Breakfast,10:14,19
10/1/2023,Sunday,Holiday,Lunch,14:20,16
10/1/2023,Sunday,Holiday,Snacks,17:23,12
10/1/2023,Sunday,Holiday,Dinner,20:49,16
10/2/2023,Monday,Holiday,Breakfast,8:27,14
10/2/2023,Monday,Holiday,Lunch,13:12,17
10/2/2023,Monday,Holiday,Snacks,17:12,7
10/2/2023,Monday,Holiday,Dinner,20:09,19
10/3/2023,Tuesday,Weekday,Breakfast,9:07,15
10/3/2023,Tuesday,Weekday,Lunch,12:58,13
10/3/2023,Tuesday,Weekday,Snacks,17:34,5
10/3/2023,Tuesday,Weekday,Dinner,19:48,12
10/4/2023,Wednesday,Weekday,Breakfast,10:13,20
10/4/2023,Wednesday,Weekday,Lunch,13:07,14
10/4/2023,Wednesday,Weekday,Snacks,17:28,6
10/4/2023,Wednesday,Weekday,Dinner,20:23,16
10/5/2023,Thursday,Weekday,Breakfast,9:31,14
10/5/2023,Thursday,Weekday,Lunch,13:33,13
10/5/2023,Thursday,Weekday,Snacks,17:34,8
10/5/2023,Thursday,Weekday,Dinner,21:12,16
10/6/2023,Friday,Weekday,Breakfast,9:47,21
10/6/2023,Friday,Weekday,Lunch,13:45,15
10/6/2023,Friday,Weekday,Snacks,17:56,11
10/6/2023,Friday,Weekday,Dinner,20:45,21
10/7/2023,Saturday,Holiday,Breakfast,10:14,16
